Disease,Symptoms,Gender,Age,Medicine
Dumping Syndrome,"Nausea, diarrhea, dizziness after eating",Gender Neutral,Any age (post-gastric surgery),"Dietary changes, octreotide (if severe)"
Dyskeratosis Congenita,"Abnormal skin pigmentation, nail dystrophy, bone marrow failure",Gender Neutral,Childhood,"Bone marrow transplant, supportive care"
Eczema (Atopic Dermatitis),"Itchy, red, dry skin patches",Gender Neutral,Usually begins in childhood (may persist into adulthood),"Topical corticosteroids (hydrocortisone), antihistamines"
Epilepsy,"Recurrent seizures, temporary confusion, staring spells",Gender Neutral,Any age (peaks in childhood & >60yrs),"Anticonvulsants (levetiracetam, valproate)"
Ebola Virus Disease,"Fever, severe headache, muscle pain, hemorrhaging",Gender Neutral,Any age,"Supportive care, experimental antivirals (remdesivir)"
Endometriosis,"Painful periods, pelvic pain, infertility",Female,25-40 years,"Hormonal therapy (progestins), NSAIDs, surgery"
Emphysema,"Shortness of breath, chronic cough, wheezing",More common in males,40+ years,"Bronchodilators (tiotropium), oxygen therapy"
Erectile Dysfunction,Inability to achieve/maintain erection,Male,40+ years,"PDE5 inhibitors (sildenafil), testosterone therapy"
Esophageal Cancer,"Difficulty swallowing, weight loss, chest pain",More common in males,50+ years,"Surgery, chemotherapy, radiation"
Ear Infection (Otitis Media),"Ear pain, fever, hearing loss (in children)",Gender Neutral,Mostly children (6m-2yrs),"Antibiotics (amoxicillin), pain relievers"
Eosinophilic Esophagitis,"Difficulty swallowing, food impaction, heartburn",More common in males,15-40 years,"Steroid inhalers (swallowed), PPIs"
Encephalitis,"Fever, headache, confusion, seizures",Gender Neutral,Any age,"Antivirals (acyclovir), supportive care"
Edema,"Swelling in limbs, puffiness, stretched skin",Gender Neutral,Any age,"Diuretics (furosemide), treat underlying cause"
Ehlers-Danlos Syndrome,"Joint hypermobility, stretchy skin, easy bruising",Gender Neutral,Congenital (lifelong),"Pain management, physical therapy"
Essential Tremor,Uncontrollable shaking (hands/head/voice),Gender Neutral,40+ years,"Propranolol, primidone"
Ewing Sarcoma,"Bone pain, swelling, fever, fractures",Slightly more common in males,10-20 years,"Chemotherapy, radiation, surgery"
Ebola Hemorrhagic Fever,Same as Ebola Virus Disease (more severe bleeding),Gender Neutral,Any age,"Supportive care, IV fluids"
Erythema Multiforme,"Target-shaped rashes, fever, joint pain",Gender Neutral,20-40 years,"Antihistamines, corticosteroids"
Esophagitis,"Painful swallowing, heartburn, chest pain",Gender Neutral,Any age,"PPIs (omeprazole), antacids"
Ectopic Pregnancy,"Abdominal pain, vaginal bleeding, dizziness",Female,20-35 years,"Methotrexate, surgery"
Enteritis,"Diarrhea, abdominal cramps, nausea",Gender Neutral,Any age,"Hydration, antibiotics (if bacterial)"
Erythema Nodosum,Painful red nodules (usually on shins),More common in females,20-40 years,"NSAIDs, potassium iodide"
Empyema,"Fever, chest pain, cough with pus",Gender Neutral,Any age,"Antibiotics, chest tube drainage"
Epididymitis,"Scrotal pain, swelling, fever",Male,15-35 years,"Antibiotics (doxycycline), NSAIDs"
Epiglottitis,"Severe sore throat, drooling, difficulty breathing",Gender Neutral,Children 2-6yrs (now rare due to Hib vaccine),"IV antibiotics (ceftriaxone), airway management"
Erysipelas,"Red, swollen, painful skin lesions with fever",Gender Neutral,Infants & elderly,Antibiotics (penicillin)
Essential Hypertension,Often asymptomatic; severe cases cause headaches,Gender Neutral,30+ years,"ACE inhibitors (lisinopril), diuretics"
Exostosis (Osteochondroma),"Bony growths near joints, sometimes pain",Gender Neutral,10-20 years,Surgical removal (if problematic)
Exercise-Induced Asthma,"Wheezing, coughing, chest tightness during/after exercise",Gender Neutral,Any age,Albuterol inhaler (pre-exercise)
Extrapyramidal Symptoms,"Muscle stiffness, tremors, restlessness (drug-induced)",Gender Neutral,Any age,Anticholinergics (benztropine)
Ectropion,"Eyelid turning outward, dryness, irritation",More common in elderly females,60+ years,"Artificial tears, surgery"
Eosinophilia,Often asymptomatic; cough/fatigue if severe,Gender Neutral,Any age,Treat underlying cause (allergies/parasites)
Epidermolysis Bullosa,"Fragile skin, blisters from minor trauma",Gender Neutral,Congenital (lifelong),"Wound care, pain management"
Erythromelalgia,"Burning pain, redness in hands/feet",More common in females,Any age,"Aspirin, gabapentin"
Esophageal Varices,"Vomiting blood, black stools, shock (if ruptured)",More common in males,Adults with liver disease,"Beta-blockers (propranolol), band ligation"
Euthyroid Sick Syndrome,Abnormal thyroid tests without true thyroid disease,Gender Neutral,Any age (during severe illness),Treat underlying condition
Exfoliative Dermatitis,"Widespread skin peeling, redness, itching",More common in males,Adults,"Corticosteroids, antihistamines"
Eye Strain (Asthenopia),"Tired eyes, headaches, blurred vision",Gender Neutral,Any age,"Rest, artificial tears, proper lighting"
Ewingella Americana Infection,"Fever, sepsis (rare infection)",Gender Neutral,Any age,Antibiotics (ciprofloxacin)
Early Menopause (Premature Ovarian Insufficiency),"Hot flashes, irregular periods, vaginal dryness",Female,<40 years,Hormone replacement therapy
Ebstein's Anomaly,"Heart murmur, cyanosis, fatigue (congenital heart defect)",Gender Neutral,Congenital (present at birth),"Surgery, medications for heart failure"
Echinococcosis (Hydatid Disease),"Cysts in liver/lungs, abdominal pain",Gender Neutral,Any age,"Albendazole, surgical removal"
Ectodermal Dysplasia,"Sparse hair, missing teeth, inability to sweat",Gender Neutral,Congenital (lifelong),"Symptomatic treatment (artificial tears, dentures)"
Empty Sella Syndrome,Often asymptomatic; sometimes headaches,More common in females,30-50 years,Hormone replacement (if deficient)
Enchondroma,Usually asymptomatic; may cause bone pain/fractures,Gender Neutral,10-40 years,"Monitoring, surgery (if malignant)"
Enterobiasis (Pinworm Infection),"Anal itching, restlessness (especially at night)",Gender Neutral,Children (5-10yrs),"Albendazole, mebendazole"
Epispadias,Abnormal urethral opening (congenital),More common in males,Congenital,Surgical correction
Erythroplakia,Red patches in mouth (precancerous),More common in males,40+ years,"Surgical removal, monitoring"
Essential Thrombocythemia,"Headaches, dizziness, blood clots",More common in females,50+ years,"Hydroxyurea, aspirin"
Ewing's Tumor (Peripheral Primitive Neuroectodermal Tumor),"Similar to Ewing Sarcoma (bone pain, swelling)",Slightly more common in males,Children/young adults,"Chemotherapy, radiation"
Exocrine Pancreatic Insufficiency,"Fatty diarrhea, weight loss, bloating",Gender Neutral,Any age,Pancreatic enzyme supplements (creon)
Extrinsic Allergic Alveolitis,"Cough, fever, shortness of breath (from allergens)",Gender Neutral,Adults,"Corticosteroids, avoid allergen"
Fibromyalgia,"Chronic widespread pain, fatigue, sleep disturbances",More common in females (75-90% of cases),20-50 years,"Duloxetine, pregabalin, amitriptyline"
Food Poisoning,"Nausea, vomiting, diarrhea, abdominal cramps",Gender Neutral,Any age,"Hydration, loperamide (for adults), antibiotics if bacterial"
Folliculitis,"Red bumps around hair follicles, itching, pus-filled blisters",Gender Neutral,Any age,"Topical antibiotics (mupirocin), antifungal creams"
Fungal Nail Infection (Onychomycosis),"Thickened, discolored, brittle nails",More common in males,Adults (risk increases with age),"Oral antifungals (terbinafine), topical ciclopirox"
Farsightedness (Hyperopia),"Blurry near vision, eye strain, headaches",Gender Neutral,Any age (often present at birth),"Corrective lenses, refractive surgery"
Fifth Disease (Erythema Infectiosum),"""Slapped cheek"" rash, fever, joint pain",Gender Neutral,Children 5-15 years,Supportive care (no specific treatment)
Folate Deficiency Anemia,"Fatigue, pale skin, irritability, tongue swelling",Gender Neutral,Any age,Folic acid supplements
Frozen Shoulder (Adhesive Capsulitis),"Shoulder pain and stiffness, limited range of motion",More common in females,40-60 years,"Physical therapy, corticosteroid injections"
Familial Hypercholesterolemia,"High LDL cholesterol, xanthomas (cholesterol deposits)",Gender Neutral,Any age (often diagnosed in childhood),"Statins (atorvastatin), PCSK9 inhibitors"
Fetal Alcohol Syndrome,"Growth deficiencies, facial abnormalities, learning disabilities",Gender Neutral,Congenital (lifelong),Supportive therapies (no cure)
Fibrocystic Breast Changes,"Lumpy, tender breasts (cyclical with periods)",Female,20-50 years,"Pain relievers (ibuprofen), evening primrose oil"
Flat Feet (Pes Planus),"Absent foot arches, foot pain, overpronation",Gender Neutral,Any age,"Orthotics, supportive shoes"
Focal Segmental Glomerulosclerosis (FSGS),"Proteinuria, edema, high blood pressure",More common in males,Any age,"Corticosteroids, immunosuppressants"
Fragile X Syndrome,"Intellectual disability, elongated face, large ears",More severe in males,Congenital (lifelong),"Behavioral therapy, symptom management"
Frontotemporal Dementia,"Personality changes, language difficulties, compulsive behaviors",Gender Neutral,40-65 years,"SSRIs, antipsychotics (for behavioral symptoms)"
Fructose Intolerance,"Bloating, diarrhea, abdominal pain after eating fruit",Gender Neutral,Any age,Fructose-free diet
Fuchs' Dystrophy,"Blurred vision (worse in morning), glare sensitivity",More common in females,50+ years,"Hypertonic saline drops, corneal transplant"
Functional Dyspepsia,"Chronic indigestion, early satiety, bloating",Gender Neutral,Adults,"PPIs (omeprazole), prokinetics"
Furuncle (Boil),"Painful, pus-filled skin bump",Gender Neutral,Any age,"Warm compresses, incision & drainage"
Febrile Seizures,Convulsions with high fever (in children),Gender Neutral,6m-5yrs,"Fever reducers (acetaminophen), usually self-limiting"
Familial Mediterranean Fever,"Recurrent fever, abdominal pain, joint pain",Gender Neutral,Childhood onset,Colchicine
Fanconi Anemia,"Bone marrow failure, birth defects, cancer risk",Gender Neutral,Congenital (lifelong),Bone marrow transplant
Fatty Liver Disease (NAFLD),"Often asymptomatic; fatigue, right upper quadrant pain",More common in males,40+ years,"Weight loss, vitamin E (for NASH)"
Female Sexual Dysfunction,"Low libido, pain during intercourse, arousal difficulties",Female,Adults,"Flibanserin, hormone therapy"
Fibroadenoma,"Firm, movable breast lump (usually painless)",Female,15-35 years,"Monitoring, surgical removal (if large)"
Filariasis (Elephantiasis),"Swollen limbs, thickened skin, fever",Gender Neutral,Any age,"Diethylcarbamazine, ivermectin"
Fissured Tongue,Deep grooves on tongue surface,Gender Neutral,Any age,None needed (maintain oral hygiene)
Floppy Infant Syndrome,"Poor muscle tone, feeding difficulties",Gender Neutral,Newborns,"Physical therapy, treat underlying cause"
Folate Deficiency,Similar to folate deficiency anemia,Gender Neutral,Any age,Folic acid supplements
Foreign Body Aspiration,"Choking, coughing, wheezing",Gender Neutral,Mostly children (1-3yrs),Bronchoscopic removal
Fournier's Gangrene,"Severe genital pain, swelling, necrosis",Male,Adults,"Emergency surgery, broad-spectrum antibiotics"
Freiberg's Disease,"Foot pain (usually 2nd metatarsal), limping",More common in females,10-15 years,"Rest, orthotics, surgery"
Friedreich's Ataxia,"Progressive clumsiness, speech difficulties, heart problems",Gender Neutral,Childhood/early adulthood,"Physical therapy, idebenone"
Frontonasal Dysplasia,"Facial abnormalities (wide-set eyes, cleft)",Gender Neutral,Congenital,Surgical reconstruction
Functional Neurological Disorder,"Seizure-like episodes, paralysis, tremors (no organic cause)",More common in females,20-40 years,Cognitive behavioral therapy
Furunculosis,Recurrent boils,Gender Neutral,Any age,"Antibiotics (clindamycin), bleach baths"
Fascioliasis,"Abdominal pain, fever, jaundice (liver fluke infection)",Gender Neutral,Any age,Triclabendazole
Febrile Neutropenia,Fever with very low neutrophil count,Gender Neutral,Any age (often chemotherapy patients),Broad-spectrum antibiotics
Felty's Syndrome,"Rheumatoid arthritis with enlarged spleen, low WBC",More common in females,50-70 years,DMARDs (methotrexate)
Fibrous Dysplasia,"Bone pain, deformities, fractures",Gender Neutral,Any age,"Bisphosphonates, surgery"
Fitz-Hugh-Curtis Syndrome,Right upper quadrant pain (PID complication),Female,Sexually active women,Antibiotics (ceftriaxone + doxycycline)
Floating-Harbor Syndrome,"Short stature, delayed bone age, speech delay",Gender Neutral,Congenital,Growth hormone therapy
Follicular Lymphoma,"Swollen lymph nodes, fatigue, night sweats",Slightly more common in males,60+ years,"Rituximab, chemotherapy"
Foot Drop,Difficulty lifting front part of foot,Gender Neutral,Any age,"Ankle braces, physical therapy"
Foreign Body Granuloma,Persistent lump at injection/surgery site,Gender Neutral,Any age,"Steroid injections, excision"
Foster Kennedy Syndrome,"Optic atrophy, papilledema, anosmia",Gender Neutral,Adults,Treat underlying brain tumor
Fowler's Syndrome,Urinary retention (in young women),Female,20-30 years,Clean intermittent catheterization
Fragile Skin Syndrome,"Easy bruising, skin tearing",Gender Neutral,Any age,"Protective measures, vitamin C"
Frey's Syndrome,Facial sweating while eating,Gender Neutral,Any age,Botulinum toxin injections
Functional Dysphonia,Hoarseness without structural abnormality,More common in females,Adults,Voice therapy
Gastroenteritis,"Diarrhea, vomiting, abdominal cramps, fever",Gender Neutral,Any age,"Oral rehydration solutions, loperamide (adults), antibiotics if bacterial"
Gallstones (Cholelithiasis),"Right upper abdominal pain, nausea, bloating",More common in females,30-50 years,"Ursodeoxycholic acid, cholecystectomy"
Gout,"Sudden severe joint pain (often big toe), redness, swelling",More common in males,30-50 years,"Allopurinol, colchicine, NSAIDs"
Gonorrhea,"Painful urination, discharge, pelvic pain (often asymptomatic)",More reported in females,15-24 years,Ceftriaxone + azithromycin
Gastritis,"Stomach pain, nausea, bloating, loss of appetite",Gender Neutral,Any age,"PPIs (omeprazole), antacids"
Glaucoma,"Gradual vision loss (peripheral first), eye pain (acute)",Gender Neutral,40+ years,"Eye drops (timolol), surgery"
Giardiasis,"Watery diarrhea, gas, stomach cramps",Gender Neutral,Any age,"Metronidazole, tinidazole"
German Measles (Rubella),"Mild fever, rash, swollen lymph nodes",Gender Neutral,Children (vaccine preventable),Supportive care
Genital Herpes,"Painful blisters, itching, flu-like symptoms",More common in females,15-49 years,"Acyclovir, valacyclovir"
Growth Hormone Deficiency,"Short stature, delayed puberty, increased fat",Gender Neutral,Childhood,Growth hormone injections
Guillain-Barré Syndrome,"Muscle weakness starting in legs, paralysis",More common in males,Any age,"IVIG, plasma exchange"
Gastric Ulcer,"Burning stomach pain, nausea, bloating",More common in males,30-60 years,"PPIs, antibiotics (if H. pylori)"
Graves' Disease,"Bulging eyes, weight loss, rapid heartbeat",More common in females,20-40 years,"Methimazole, radioactive iodine"
Ganglion Cyst,Soft lump on joints/tendons (usually wrist),More common in females,20-40 years,"Aspiration, surgical removal"
Gilbert's Syndrome,"Mild jaundice, fatigue",More common in males,Teens to adults,None needed (benign)
Gingivitis,"Red, swollen gums, bleeding when brushing",Gender Neutral,Any age,"Improved oral hygiene, antiseptic mouthwash"
Goiter,"Swelling in neck, difficulty swallowing",More common in females,Any age,"Thyroid hormone, surgery"
Granuloma Annulare,Ring-shaped skin lesions,More common in females,Children and young adults,Topical steroids
Group B Strep Infection,"Fever in newborns, sepsis risk",Gender Neutral,Newborns,IV antibiotics (penicillin)
Gastroparesis,"Nausea, vomiting, bloating, early satiety",More common in females,Any age,"Metoclopramide, dietary changes"
Genital Warts,Flesh-colored bumps in genital area,Gender Neutral,15-49 years,"Imiquimod cream, cryotherapy"
G6PD Deficiency,Hemolytic anemia triggered by certain foods/drugs,Male (X-linked),Any age,"Avoid triggers, blood transfusions"
Gestational Diabetes,Usually asymptomatic; detected via screening,Female,Pregnant women,"Insulin, dietary control"
Giant Cell Arteritis,"Headache, jaw pain, vision loss",More common in females,50+ years,Corticosteroids
Giardia Lamblia Infection,Same as giardiasis,Gender Neutral,Any age,Metronidazole
Glomerulonephritis,"Blood in urine, swelling, high blood pressure",Gender Neutral,Any age,"Corticosteroids, immunosuppressants"
Goldenhar Syndrome,"Facial asymmetry, ear abnormalities",More common in males,Congenital,Surgical correction
Gonococcal Arthritis,"Joint pain, swelling, fever",More common in females,15-40 years,Ceftriaxone
Goodpasture Syndrome,"Coughing blood, kidney failure",More common in males,20-30 years,"Plasmapheresis, immunosuppressants"
Graft-versus-Host Disease,"Rash, diarrhea, liver problems (post-transplant)",Gender Neutral,Any age,Immunosuppressants
Granulomatosis with Polyangiitis,"Sinusitis, cough, kidney problems",Gender Neutral,40-65 years,"Cyclophosphamide, rituximab"
Growing Pains,Leg pain in children (usually at night),Gender Neutral,3-12 years,"Massage, pain relievers"
Guillain-Barre Syndrome,Same as Guillain-Barré (alternative spelling),More common in males,Any age,IVIG
Gulf War Syndrome,"Fatigue, pain, cognitive problems",More common in males,Veterans,Symptomatic treatment
Gum Disease (Periodontitis),"Receding gums, loose teeth, bad breath",Gender Neutral,30+ years,"Deep cleaning, antibiotics"
Gynecomastia,Enlarged male breast tissue,Male,Puberty or 50+ years,"Tamoxifen, surgery"
Gas Gangrene,"Severe pain, swelling, foul-smelling discharge",Gender Neutral,Any age,"Emergency surgery, antibiotics"
Gastric Cancer,"Indigestion, weight loss, vomiting blood",More common in males,50+ years,"Surgery, chemotherapy"
Geographic Tongue,Map-like patches on tongue,More common in females,Any age,None needed
Geriatric Depression,"Persistent sadness, loss of interest",More common in females,65+ years,"SSRIs, therapy"
Gilbert Syndrome,Same as Gilbert's (alternative spelling),More common in males,Teens to adults,None needed
Glossitis,"Swollen, smooth, painful tongue",Gender Neutral,Any age,Treat underlying cause
Glucose Intolerance,High blood sugar (pre-diabetes),Gender Neutral,Adults,"Metformin, lifestyle changes"
Granuloma Inguinale,"Genital ulcers, bleeding",More common in males,20-40 years,Doxycycline
Growing Skull Fracture,Progressive skull defect (in children),Gender Neutral,<3 years,Surgery
Gulf Coast Tick Fever,"Fever, headache, rash",Gender Neutral,Any age,Doxycycline
Gut Fermentation Syndrome,Drunkenness without alcohol consumption,Gender Neutral,Any age,"Antifungals, dietary changes"
Guttate Psoriasis,"Small, drop-shaped red patches",Gender Neutral,Children/young adults,"Topical steroids, phototherapy"
Gyrate Atrophy,"Night blindness, progressive vision loss",Gender Neutral,Childhood onset,"Vitamin B6, low-protein diet"
Gingival Hyperplasia,Overgrown gum tissue,Gender Neutral,Any age,"Improved oral hygiene, surgical reduction"
Hypertension (High Blood Pressure),"Often asymptomatic; severe cases cause headaches, dizziness",Gender Neutral,30+ years,"ACE inhibitors (lisinopril), diuretics (hydrochlorothiazide)"
Hyperthyroidism (Graves' Disease),"Weight loss, rapid heartbeat, anxiety, tremors",More common in females,20-40 years,"Methimazole, radioactive iodine"
Hypothyroidism,"Fatigue, weight gain, cold intolerance, depression",More common in females,Any age (peaks 30-50 years),Levothyroxine
Heart Failure,"Shortness of breath, fatigue, swollen legs",Gender Neutral,50+ years,"Beta-blockers (carvedilol), diuretics (furosemide)"
Hepatitis A,"Fever, fatigue, jaundice, nausea",Gender Neutral,Any age,"Supportive care, vaccination for prevention"
Hepatitis B,"Fatigue, abdominal pain, jaundice (chronic cases asymptomatic)",Gender Neutral,Any age,"Antivirals (tenofovir), interferon"
Hepatitis C,"Often asymptomatic; fatigue, joint pain in chronic cases",Gender Neutral,20+ years,Direct-acting antivirals (sofosbuvir/ledipasvir)
Hemorrhoids,"Rectal bleeding, itching, pain during bowel movements",Gender Neutral,30+ years,"Fiber supplements, topical hydrocortisone"
HIV/AIDS,"Fever, weight loss, recurrent infections",Gender Neutral (higher in males due to risk factors),15-49 years,Antiretroviral therapy (ART)
Hives (Urticaria),Itchy red welts on skin,More common in females,Any age,"Antihistamines (loratadine), corticosteroids"
Headache (Tension-Type),"Dull, squeezing head pain",More common in females,Teens to adults,"NSAIDs (ibuprofen), stress management"
Heart Attack (Myocardial Infarction),"Chest pain, shortness of breath, nausea",More common in males,40+ years,"Aspirin, statins, beta-blockers"
Hernia (Inguinal),"Bulge in groin, discomfort when lifting",More common in males,Any age,Surgical repair
Herpes Zoster (Shingles),"Painful rash with blisters, usually on one side",Gender Neutral,50+ years,"Antivirals (valacyclovir), pain medication"
Hypoglycemia,"Shakiness, sweating, confusion, rapid heartbeat",Gender Neutral,Any age,"Glucose tablets, dietary changes"
Hashimoto's Thyroiditis,"Fatigue, weight gain, cold intolerance",More common in females,30-50 years,Levothyroxine
Hand-Foot-and-Mouth Disease,"Fever, mouth sores, rash on hands/feet",Gender Neutral,Children <5 years,Supportive care
Heat Stroke,"High body temperature, confusion, loss of consciousness",More common in males,Any age,"Cooling measures, IV fluids"
Hemophilia,"Excessive bleeding, easy bruising",Male (X-linked),Congenital (lifelong),Factor VIII/IX replacement
Hiatal Hernia,"Heartburn, chest pain, difficulty swallowing",Gender Neutral,50+ years,"PPIs (omeprazole), surgery"
Hodgkin's Lymphoma,"Swollen lymph nodes, fever, night sweats",More common in males,15-40 and 55+ years,Chemotherapy (ABVD regimen)
Huntington's Disease,"Uncontrolled movements, cognitive decline",Gender Neutral,30-50 years,Symptomatic treatment (tetrabenazine)
Hyperlipidemia,None directly; detected via blood tests,Gender Neutral,Adults,Statins (atorvastatin)
Hyperparathyroidism,"Fatigue, bone pain, kidney stones",More common in females,50+ years,Surgery
Hypoparathyroidism,"Muscle cramps, tingling, seizures",Gender Neutral,Any age,Calcium/vitamin D supplements
H. Pylori Infection,"Stomach pain, bloating, nausea",Gender Neutral,Any age,Antibiotic triple therapy
Hay Fever (Allergic Rhinitis),"Sneezing, runny nose, itchy eyes",Gender Neutral,Any age,"Antihistamines (cetirizine), nasal steroids"
Heart Murmur,Abnormal heart sounds (often benign),Gender Neutral,Any age,Treat underlying cause if needed
Hemangioma,Red birthmark (usually harmless),More common in females,Infants,Propranolol (if treatment needed)
Hemochromatosis,"Fatigue, joint pain, bronze skin",More common in males,40+ years,Phlebotomy
Hemolytic Anemia,"Fatigue, pale skin, dark urine",Gender Neutral,Any age,"Corticosteroids, blood transfusions"
Hemorrhagic Fever (Ebola/Dengue),"High fever, bleeding, shock",Gender Neutral,Any age,Supportive care
Herniated Disc,"Back pain, radiating leg pain",More common in males,30-50 years,"NSAIDs, physical therapy"
Histoplasmosis,"Fever, cough, chest pain",Gender Neutral,Any age,Antifungals (itraconazole)
Hives (Chronic),Itchy welts lasting >6 weeks,More common in females,Adults,"Antihistamines, omalizumab"
Hydrocele,Scrotal swelling,Male,Infants or elderly,Surgical repair
Hydrocephalus,"Headache, nausea, balance problems",Gender Neutral,Any age,Shunt placement
Hyperemesis Gravidarum,Severe nausea/vomiting during pregnancy,Female,Pregnant women,"Ondansetron, IV fluids"
Hyperhidrosis,Excessive sweating,Gender Neutral,Teens to adults,"Antiperspirants, botox injections"
Hypocalcemia,"Muscle cramps, numbness, seizures",Gender Neutral,Any age,Calcium/vitamin D
Hypoglycemia (Reactive),Shakiness after eating,Gender Neutral,Adults,Dietary changes
Hypopituitarism,"Fatigue, weight changes, sexual dysfunction",Gender Neutral,Any age,Hormone replacement
Hypothermia,"Shivering, confusion, slow breathing",More common in males,Elderly,Gradual rewarming
Hysterical Conversion Disorder,Neurologic symptoms without organic cause,More common in females,Teens to adults,Psychotherapy
Hantavirus Pulmonary Syndrome,"Fever, cough, respiratory failure",More common in males,Adults,Supportive care
Hallux Valgus (Bunion),Bony bump at big toe base,More common in females,Adults,"Orthotics, surgery"
Heart Block,"Dizziness, fainting, fatigue",Gender Neutral,Elderly,Pacemaker
Hemiballismus,Violent limb movements,Gender Neutral,Elderly,Antipsychotics
Hypertrophic Cardiomyopathy,"Chest pain, shortness of breath",Gender Neutral,Teens to adults,Beta-blockers
Hypersplenism,"Enlarged spleen, low blood counts",Gender Neutral,Adults,Treat underlying cause
Influenza (Flu),"Fever, chills, muscle aches, cough, fatigue",Gender Neutral,Any age,"Oseltamivir (Tamiflu), rest, hydration"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea/constipation",More common in females,20-40 years,"Fiber supplements, antispasmodics (dicyclomine)"
Iron Deficiency Anemia,"Fatigue, pale skin, weakness, shortness of breath",More common in females,Any age,Iron supplements (ferrous sulfate)
Impetigo,"Honey-colored crusted sores, itching",Gender Neutral,Children 2-5 years,Topical antibiotics (mupirocin)
Insomnia,"Difficulty falling/staying asleep, daytime fatigue",More common in females,Adults,"Cognitive behavioral therapy, zolpidem (short-term)"
Ischemic Heart Disease,"Chest pain (angina), shortness of breath",More common in males,40+ years,"Statins, beta-blockers, aspirin"
Inflammatory Bowel Disease (IBD),"Abdominal pain, diarrhea (bloody), weight loss",Gender Neutral,15-35 years,"Anti-inflammatories (mesalamine), biologics"
Interstitial Cystitis,"Pelvic pain, urinary urgency/frequency",More common in females,30-50 years,"Pentosan polysulfate, bladder instillations"
Intestinal Obstruction,"Abdominal pain, vomiting, constipation",Gender Neutral,Any age,"NPO, NG tube, surgery"
Ichthyosis,"Dry, scaly, thickened skin",Gender Neutral,Congenital or acquired,"Emollients, retinoids"
Infectious Mononucleosis,"Fever, sore throat, swollen lymph nodes",Gender Neutral,Teens/young adults,"Rest, hydration"
Insulin Resistance,Often asymptomatic; acanthosis nigricans,Gender Neutral,Adults,"Metformin, lifestyle changes"
Intertrigo,"Red rash in skin folds, itching",Gender Neutral,Any age,"Antifungal creams, barrier creams"
Ischemic Stroke,"Sudden weakness, speech difficulty, facial droop",Gender Neutral,55+ years,"tPA (if early), aspirin, rehabilitation"
Iritis (Anterior Uveitis),"Eye pain, redness, photophobia",Gender Neutral,20-50 years,Steroid eye drops
Iron Overload (Hemochromatosis),"Fatigue, joint pain, bronze skin",More common in males,40+ years,Phlebotomy
Impetigo Herpetiformis,Pustular rash during pregnancy,Female,Pregnant women,Corticosteroids
Idiopathic Thrombocytopenic Purpura (ITP),"Bruising, petechiae, bleeding",More common in females,Children or young adults,"Corticosteroids, IVIG"
Intermittent Claudication,Leg pain with walking,More common in males,50+ years,"Cilostazol, exercise"
Inguinal Hernia,"Groin bulge, discomfort",More common in males,Any age,Surgical repair
Infantile Colic,Excessive crying in healthy baby,Gender Neutral,Newborns (2 weeks - 4 months),None (resolves spontaneously)
Inclusion Body Myositis,Progressive muscle weakness,More common in males,50+ years,"No cure, physical therapy"
Immune Thrombocytopenia,Same as ITP,More common in females,Any age,Similar to ITP
Irritable Hip (Transient Synovitis),"Hip pain, limping in children",More common in males,3-10 years,"NSAIDs, rest"
Ischial Bursitis,"Buttock pain, tenderness",Gender Neutral,Adults,"NSAIDs, cushioning"
Ichthyosis Vulgaris,Mild scaling skin,Gender Neutral,Childhood onset,Moisturizers
Insulinoma,"Hypoglycemia, confusion, sweating",Gender Neutral,Adults,Surgical removal
Interstitial Lung Disease,Progressive shortness of breath,Gender Neutral,50+ years,"Corticosteroids, oxygen"
Intussusception,"Severe abdominal pain, vomiting (in infants)",More common in males,3 months - 3 years,Air enema reduction
Iron Poisoning,"Vomiting, diarrhea, shock",Gender Neutral,Children (accidental ingestion),Deferoxamine
Ischemic Colitis,"Abdominal pain, bloody diarrhea",More common in females,60+ years,"Bowel rest, IV fluids"
Idiopathic Pulmonary Fibrosis,Progressive shortness of breath,More common in males,50+ years,"Pirfenidone, oxygen"
Impetigo Contagiosa,Same as impetigo,Gender Neutral,Children,Same as impetigo
Infectious Arthritis,"Hot, swollen, painful joint",Gender Neutral,Any age,IV antibiotics
Insulin Allergy,Local redness/swelling at injection site,Gender Neutral,Any age,"Antihistamines, insulin rotation"
Interstitial Nephritis,Often asymptomatic; may cause kidney failure,Gender Neutral,Any age,"Stop offending drug, corticosteroids"
Intestinal Malrotation,"Vomiting, abdominal pain (in infants)",Gender Neutral,Newborns,Surgical correction
Idiopathic Scoliosis,Abnormal spinal curvature,More common in females,10-15 years,"Bracing, surgery"
Infant Botulism,"Weakness, poor feeding, constipation",Gender Neutral,Infants <1 year,Botulism immune globulin
Inverted Nipple,Nipple retracted inward,Female,Any age,"Nipple shields, surgery"
Isolated Systolic Hypertension,Often asymptomatic,Gender Neutral,Elderly,Thiazide diuretics
Ichthyosis Bullosa of Siemens,Blistering with skin scaling,Gender Neutral,Infancy,Emollients
Immune Complex Disease,Varies by organ affected,Gender Neutral,Any age,Immunosuppressants
Intermittent Explosive Disorder,Episodes of aggressive outbursts,More common in males,Teens to adults,"SSRIs, therapy"
Intestinal Pseudo-obstruction,Obstruction symptoms without blockage,Gender Neutral,Any age,Prokinetic agents
